iso,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
BOL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,290.601257,284.410236,278.40552,272.2298,266.078714,259.872732,253.677074,247.402422,241.186249,234.979877,228.718837,222.429335,216.078433,209.613125,203.149029,196.667702,190.426085,184.309999,178.524621,173.122333,168.146748,163.518277,159.085169,154.691057,150.22418,145.578618,140.767144,135.854044,130.916007,126.006529,121.217918,116.501067,111.846536,107.279962,102.736649,98.139169,93.595949,88.988622,84.423787,79.807953,75.345277,71.038826,66.961538,63.064937,59.35813,55.84184,52.505379,49.368455,46.424452,43.680501,41.099437,38.691886,36.453996,34.374632,32.42771,30.760533,29.271173,27.962284,26.79508
BIH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.37419,27.038578,24.91961,22.987822,21.221452,19.611884,18.148782,16.827653,17.975968,17.436905,14.727904,14.101816,12.158935,11.480047,10.843291,10.288055,9.843441,9.521742,9.295527,9.142686,9.008887,8.830134,8.576395,8.260366,7.903278,7.528456,7.18003,6.874411,6.622965,6.424048,6.26884,6.141237,6.03326,5.930278,5.805168
BWA,NA,NA,NA,NA,206.86378,200.235209,193.543848,187.433547,181.38702,175.505685,169.681525,164.163603,158.988955,153.955327,149.019296,144.274047,139.579912,135.049886,130.474656,125.840129,121.037492,116.09018,111.0111,105.818336,100.645943,95.389911,90.299161,85.301525,80.460074,75.90973,71.618598,67.547587,63.874342,60.506737,57.535457,54.818553,52.620141,50.926151,49.99973,50.06513,51.249702,53.621501,57.058837,60.857902,65.233518,70.007468,74.516027,78.777342,82.443318,85.056248,86.86017,86.332415,84.320778,81.72067,78.02826,71.878691,65.721681,61.730847,59.262021,55.488001,49.838384,48.842199,46.060213,43.154372,42.251557,40.72797,39.407739,37.484739,36.465976
BRA,NA,NA,NA,NA,NA,195.880313,190.195864,184.593711,179.191231,174.092372,169.181442,164.502817,159.92608,155.684712,151.796316,148.245886,145.013299,141.85707,138.849952,135.735619,132.501058,129.170267,125.769404,122.485636,119.093471,115.79471,112.329415,108.708216,104.81916,100.663635,96.345703,92.012633,87.85655,83.954904,80.387436,77.158766,74.125495,71.25938,68.521725,65.777629,63.011912,60.174852,57.216911,54.106127,50.977247,47.905046,44.98227,42.196188,39.576448,37.104345,34.769327,32.558937,30.466605,28.457495,26.58372,24.857373,23.294978,21.897424,20.673608,19.613011,18.709463,17.933277,17.272257,16.700712,16.186228,15.71044,16.347105,14.789233,14.350822
BRN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.673377,15.190502,14.728655,14.314716,13.972887,13.725338,13.573927,13.47764,13.409596,13.31064,13.122275,12.827136,12.434585,11.989486,11.527886,11.081698,10.680328,10.335689,10.050078,9.82327,9.657034,9.54108,9.467257,9.429718,9.429806,9.471426,9.545185,9.655604,9.802802,9.99211,10.224352,10.483612,10.77018,11.076948,11.358718,11.55226
BGR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.724643,37.979388,37.514836,37.163175,36.507613,35.381644,33.972464,32.513252,31.199119,30.194216,29.547339,29.07112,28.598351,27.991236,27.130528,26.045169,24.903611,23.880362,22.998763,22.207829,21.445198,20.607895,19.651588,18.730724,18.090916,17.850327,17.955811,18.343332,18.825278,19.150097,19.206182,19.179533,19.265553,19.38418,19.28695,18.859003,18.225345,17.509795,16.75482,15.947911,15.087743,14.19745,13.304038,12.489798,11.873467,11.451695,11.114093,10.741938,10.304489,9.79103,9.233142,8.677346,8.182389,7.748556,7.375415,7.05559
BFA,380.550323,377.921637,374.715311,371.301079,367.8456,363.742145,359.656053,355.508209,351.260263,347.088824,342.906659,338.962557,335.386343,331.824231,328.88046,326.048112,323.607943,321.449243,319.781981,318.33509,316.478403,314.184874,310.473079,304.481923,295.896016,285.376143,274.439917,263.719433,254.116824,245.963549,239.24774,233.719152,229.001508,224.558685,220.085311,215.477308,210.908421,206.49679,202.90353,200.510815,199.305146,198.931014,198.940242,198.665642,197.475078,195.461101,192.625821,189.473246,185.97409,182.4871,178.909492,175.062686,170.785074,165.789619,159.558627,152.53042,144.855866,136.910305,129.031196,121.501974,114.389919,107.566399,101.372766,95.799047,90.969174,86.780651,82.986719,79.593275,76.416638
BDI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,241.901636,243.474278,245.460327,246.993966,248.345646,249.189483,249.730521,250.141337,250.463313,250.895018,251.241483,251.075262,250.043668,247.133522,241.819041,234.268203,225.013802,214.493749,203.49993,192.794162,183.497933,176.384263,171.90596,169.901853,170.199821,172.01803,174.21962,176.454378,178.221695,179.162601,179.019414,177.562878,175.118184,171.405513,166.979028,161.784658,156.413765,150.683458,144.793595,138.68779,132.157992,124.977279,117.55582,110.245899,103.261138,96.746144,90.720182,85.157831,79.977881,75.146563,70.793591,67.029887,63.807951,60.97722,58.456862
KHM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,309.064975,284.10223,259.559698,232.891768,205.496694,179.616956,156.876709,139.594535,128.677048,122.628616,119.282581,117.451674,116.536364,116.124604,115.960147,115.919687,116.14393,116.603476,117.417819,118.548135,119.528251,120.067853,119.727721,117.89939,113.805837,106.755911,97.139599,87.202592,78.42207,71.186225,65.264315,60.296434,55.862078,51.756569,47.891391,44.285861,40.989622,38.049587,35.605535,33.708783,32.033856,30.481937,29.156643,27.995322
CMR,NA,NA,NA,NA,338.058348,325.94257700000003,314.133933,302.949108,292.32002,283.3959,276.086667,270.279702,265.550542,261.518608,257.367337,252.153697,245.772516,237.674935,228.550771,219.173342,210.400271,202.847972,196.912903,193.052155,190.91429,189.969218,189.390374,188.651652,186.900116,184.056588,179.952544,174.734116,168.677038,162.032838,155.339769,149.06354,143.627874,139.704234,137.240289,136.364447,137.068888,139.045787,141.714559,144.751984,147.737006,150.264132,152.11043,153.218626,153.287789,152.059652,149.39433,145.839953,141.638856,137.308129,132.928607,128.891034,124.739421,120.654706,116.252304,112.058156,107.168572,102.63503,98.217554,93.835158,89.807567,85.806897,82.301032,78.992012,76.059983
CAN,48.605174,46.143948,43.847535,41.766382,39.948707,38.381431,37.013056,35.805825,34.702454,33.638761,32.595072,31.544878,30.479248,29.380811,28.249299,27.118224,26.02248,24.974564,23.963128,22.962152,21.958908,20.954276,19.93944,18.934244,17.941384,16.965149,16.00634,15.069864,14.1711,13.319268,12.527782,11.805847,11.162519,10.606995,10.141577,9.754206,9.421743,9.12352,8.836785,8.546161,8.250217,7.95988,7.682684,7.41686,7.163409,6.928957,6.71444,6.52899,6.378841,6.272394,6.205535,6.168293,6.148897,6.131047,6.101468,6.052231,5.983836,5.901447,5.812645,5.727024,5.649327,5.578837,5.515784,5.449337,5.372473,5.283635,5.186195,5.083261,4.973348
CPV,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,185.393534,170.802299,157.345413,145.101279,134.149451,124.441277,115.679507,108.144394,101.787222,96.596212,92.460482,89.504363,87.311405,85.593942,83.91725,81.777981,78.769601,75.059121,70.924551,66.78898,63.223149,60.650717,59.076031,58.381445,58.228904,57.810413,56.406525,53.69966,49.731928,44.904691,39.99761,35.607262,32.049655,29.437606,27.756841,26.779534,26.307568,26.113958,25.995946,25.789286,25.445096,24.933201,24.305401,23.611864,22.887981,22.172354,21.48747,20.805869,20.139461,19.486576
