ISO Code;Country Name;Uncertainty bounds*;1950,5;1951,5;1952,5;1953,5;1954,5;1955,5;1956,5;1957,5;1958,5;1959,5;1960,5;1961,5;1962,5;1963,5;1964,5;1965,5;1966,5;1967,5;1968,5;1969,5;1970,5;1971,5;1972,5;1973,5;1974,5;1975,5;1976,5;1977,5;1978,5;1979,5;1980,5;1981,5;1982,5;1983,5;1984,5;1985,5;1986,5;1987,5;1988,5;1989,5;1990,5;1991,5;1992,5;1993,5;1994,5;1995,5;1996,5;1997,5;1998,5;1999,5;2000,5;2001,5;2002,5;2003,5;2004,5;2005,5;2006,5;2007,5;2008,5;2009,5;2010,5;2011,5;2012,5;2013,5;2014,5;2015,5;2016,5;2017,5;2018,5
ARG;Argentina;Median;;;;;;;;;;;;;;;;;;;;72,569955;71,757879;70,831256;69,663625;68,11201;65,981056;63,194694;59,676228;55,565159;51,173994;46,830568;42,829837;39,372347;36,515535;34,138196;32,148881;30,600487;29,591028;29,110364;28,934127;28,827267;28,610034;28,126395;27,314952;26,298536;25,216633;24,126842;23,078498;22,088542;21,177565;20,35628;19,615729;18,934493;18,29472;17,682678;17,089871;16,540521;16,074339;15,694544;15,33431;14,923425;14,440421;13,884563;13,270751;12,646419;12,045401;11,478305;10,937614;10,422626;9,944955
ARG;Argentina;Upper;;;;;;;;;;;;;;;;;;;;76,853774;74,725499;73,740494;72,956064;71,715185;69,395257;66,099881;61,935936;57,120821;52,298901;47,733805;43,640139;40,128819;37,191846;34,789531;32,752164;31,171566;30,151221;29,647466;29,48312;29,367603;29,136932;28,662561;27,824961;26,804724;25,693434;24,590021;23,523442;22,49851;21,585249;20,733282;19,973343;19,286164;18,629442;18,024642;17,411964;16,851935;16,3829;15,994492;15,629521;15,205897;14,718534;14,154637;13,528601;12,895175;12,281508;11,704716;11,182731;10,762781;10,462412
ARM;Armenia;Lower;;;;;;;;;;;;;;;;;;;;;;;;;;;71,57502;69,975055;68,151072;66,208416;64,312012;62,313636;60,214924;58,158218;56,12366;54,102005;52,133911;50,254102;73,453546;46,444057;44,534379;42,645146;40,782217;38,918681;37,14972;35,423129;33,737012;32,128931;30,561474;29,035617;27,574039;26,118629;24,724224;23,419529;22,138219;20,925217;19,774916;18,669272;17,609028;16,625961;15,671112;14,757772;13,904829;13,081482;12,275089;11,48954;10,753556;10,035498;9,345995
ARM;Armenia;Median;;;;;;;;;;;;;;;;;;;;;;;;;;;85,913257;82,429303;79,124872;75,962956;72,922642;70,088355;67,361639;64,724417;62,212345;59,857926;57,539949;55,306925;80,799702;51,054848;48,96295;46,914157;44,883618;42,906753;40,956489;39,088477;37,311948;35,579262;33,903756;32,295791;30,75944;29,263858;27,844205;26,484127;25,176598;23,915769;22,732991;21,602145;20,516477;19,484424;18,522255;17,583453;16,69576;15,873172;15,11415;14,373374;13,664169;13,005093;12,380639
ARM;Armenia;Upper;;;;;;;;;;;;;;;;;;;;;;;;;;;102,426099;97,023199;92,046943;87,392876;83,155244;79,204867;75,725802;72,350459;69,172798;66,298627;63,629445;61,068847;89,152278;56,294188;53,972507;51,737205;49,536974;47,315352;45,209247;43,150621;41,141172;39,234224;37,407281;35,647602;33,912842;32,272518;30,738863;29,28569;27,890404;26,599697;25,37648;24,225583;23,185211;22,230439;21,307663;20,438148;19,605744;18,838367;18,144408;17,448603;16,834119;16,260897;15,716378
AUS;Australia;Lower;30,596434;30,26865;29,659132;28,91398;28,161638;27,436733;26,736576;26,123894;25,526252;24,962793;24,381205;23,813469;23,275737;22,737738;22,293385;21,916176;21,661535;21,560305;21,459109;21,325497;21,047322;20,585535;19,913102;19,046419;18,057079;16,978455;15,911475;14,948756;14,085681;13,363499;12,774751;12,302353;11,941934;11,640663;11,364932;11,078309;10,765096;10,409489;9,98714;9,520177;9,012122;8,493038;7,99989;7,545282;7,173638;6,87673;6,643016;6,470692;6,322821;6,190826;6,066912;5,958898;5,871718;5,788732;5,711924;5,615082;5,481724;5,312556;5,111217;4,898029;4,676431;4,450759;4,232557;4,034307;3,885443;3,778226;3,692194;3,601086;3,488785
AUS;Australia;Median;31,590503;30,96827;30,254186;29,486272;28,718704;27,964462;27,260798;26,615975;26,010441;25,426958;24,854031;24,280138;23,721367;23,193717;22,725123;22,349179;22,101837;21,972596;21,877358;21,732167;21,452332;20,985018;20,30228;19,424992;18,395247;17,305861;16,231812;15,241034;14,367134;13,627303;13,026422;12,548192;12,172122;11,86252;11,581776;11,295046;10,97698;10,60836;10,185909;9,705629;9,187787;8,66193;8,153148;7,694651;7,312874;7,008589;6,77341;6,592904;6,446074;6,312226;6,186699;6,078227;5,987457;5,905259;5,82285;5,7247;5,590778;5,414963;5,211519;4,994446;4,770692;4,543398;4,322642;4,128976;3,976233;3,865674;3,788957;3,736805;3,688607
AUS;Australia;Upper;32,631734;31,66837;30,856918;30,086999;29,288179;28,511209;27,800007;27,116844;26,523068;25,916793;25,336982;24,769248;24,173547;23,645153;23,15901;22,778325;22,542642;22,390854;22,306001;22,144139;21,87699;21,41882;20,7113;19,817904;18,758467;17,634786;16,554566;15,531779;14,64805;13,896668;13,277354;12,792503;12,404106;12,096176;11,800077;11,513371;11,197271;10,816355;10,387291;9,894295;9,369549;8,831238;8,305735;7,84445;7,454222;7,143803;6,905978;6,719082;6,572679;6,434386;6,308453;6,203489;6,104916;6,02135;5,937206;5,838763;5,704413;5,520644;5,31693;5,094149;4,867826;4,639082;4,414247;4,222752;4,066384;3,952009;3,886836;3,884289;3,926511
AUT;Austria;Lower;;;;;51,578322;51,602612;50,585123;48,942591;46,841156;44,483237;41,919769;39,391922;37,167484;35,165721;33,51417;32,090752;30,865163;29,896699;29,132157;28,733251;28,465357;28,086091;27,404005;26,203883;24,549907;22,585629;20,636181;19,026595;17,692704;16,712093;15,904042;15,159111;14,441193;13,704103;13,006992;12,309256;11,592185;10,879912;10,212755;9,707857;9,276418;8,80705;8,292412;7,725284;7,154209;6,596714;6,134328;5,796078;5,562357;5,414792;5,313178;5,219517;5,125239;5,009268;4,872941;4,722065;4,579869;4,474845;4,373639;4,277395;4,165351;4,032796;3,892589;3,75054;3,644345;3,556975;3,467858;3,34674;3,188351
AUT;Austria;Median;;;;;54,999642;53,405694;51,755297;49,949573;47,879122;45,425417;42,790322;40,243775;37,935718;35,916186;34,191319;32,740685;31,517875;30,509508;29,774232;29,344076;29,072488;28,690335;27,99896;26,804243;25,064372;23,044245;21,105249;19,448674;18,105754;17,081777;16,253735;15,503503;14,761343;14,022873;13,311752;12,604824;11,880635;11,154119;10,504687;9,977348;9,523071;9,055025;8,526133;7,954307;7,365911;6,81619;6,356607;6,014527;5,770292;5,610071;5,501367;5,409896;5,312296;5,19647;5,054399;4,902643;4,762709;4,646089;4,542129;4,438046;4,326647;4,195702;4,051597;3,914812;3,802312;3,714788;3,645093;3,584955;3,522741
